1138.8, 1354.5, 1240.5, 1295.3, 1271.1, 1235.0, 1365.5, 1269.3, 1234.9, 942.3,
204.5, 221.5, 199.0, 215.8, 197.8, 220.9, 201.2, 199.5, 182.5, 220.9

7771.66, 7770.24, 7773.71, 7750.88, 7780.35, 7757.65, 7795.63, 7792.77, 7756.26, 7733.86,  
114327.00, 114093.00, 114265.00, 114327.00, 114229.00, 114214.00, 114216.00, 114335.00, 114408.00, 114349.00

Instância	Média nbr_gen	Média best_cost	Média best_time (s)
1	1182.5	7771.66	1833.30
2	1274.9	7770.24	2233.47
3	1286.6	7773.71	1615.86
4	2799.5	7750.88	1911.53
5	2682.4	7780.35	2249.23
6	2725.4	7757.65	1705.27
7	2534.6	7795.63	1521.88
8	2453.4	7792.77	1824.42
9	2314.1	7756.26	1723.13
10	2081.0	7733.86	2177.47
11	344.1	114327.00	24.38
12	330.9	114093.00	131.40
13	331.3	114265.00	83.06
14	337.3	114327.00	42.13
15	285.0	114229.00	58.84
16*	371.3	114214.00	323.22
17	322.9	114216.00	48.91
18	354.1	114335.00	33.71
19	330.8	114408.00	35.62
20	347.9	114349.00	29.11

Instância	Média nbr_gen	Média best_cost	Média best_time (s)
1	1128.7	7771.66	1930.50
2	1334.6	7770.24	1479.32
3	1239.5	7773.71	1564.54
4	1292.5	7750.88	2506.19
5	1270.1	7780.35	1682.71
6	1256.2	7757.65	1627.63
7	1365.1	7795.63	1499.95
8	1279.3	7792.77	2136.01
9	1248.9	7756.26	2005.50
10	1018.0	7733.86	2064.56
11	203.5	114327.00	22.74
12	221.5	114093.00	183.44
13	201.0	114265.00	81.41
14	214.4	114327.00	20.05
15	197.9	114229.00	56.06
16	220.5	114214.00	189.21
17	205.7	114216.00	17.57
18	208.5	114335.00	45.40
19	192.4	114408.00	25.55
20	221.0	114349.00	17.73

