500 50
0 1 600.57
0 2 558.83
0 3 44.83
0 4 185.34
0 5 38.78
0 6 494.68
0 7 430.53
0 8 746.4
0 9 786.26
0 10 391.76
0 11 610.52
0 12 305.57
0 13 8.93
0 14 675.66
0 15 523.93
0 16 971.32
0 17 32.5
0 18 202.17
0 19 879.16
0 20 969.41
0 21 746.2
0 22 740.77
0 23 762.22
0 24 308.46
0 25 103.55
0 26 512.11
0 27 450.67
0 28 681.42
0 29 656.5
0 30 369.27
0 31 710.91
0 32 114.94
0 33 538.32
0 34 479.78
0 35 339.78
0 36 239.41
0 37 840.91
0 38 603.99
0 39 965.56
0 40 833.27
0 41 46.53
0 42 490.63
0 43 288.44
0 44 760.66
0 45 788.02
0 46 993.51
0 47 339.71
0 48 919.94
0 49 508.41
0 50 577.75
0 51 977.46
0 52 734.93
0 53 57.71
0 54 402.68
0 55 42.09
0 56 208.13
0 57 80.47
0 58 684.62
0 59 543.84
0 60 300.57
0 61 451.29
0 62 345.97
0 63 554.32
0 64 546.88
0 65 407.1
0 66 4.07
0 67 601.1
0 68 399.34
0 69 84.5
0 70 439.88
0 71 709.18
0 72 579.1
0 73 740.67
0 74 193.93
0 75 90.12
0 76 813.49
0 77 341.4
0 78 329.15
0 79 252.37
0 80 124.48
0 81 682.72
0 82 569.93
0 83 233.1
0 84 27.01
0 85 176.85
0 86 418.46
0 87 704.16
0 88 623.01
0 89 724.31
0 90 230.44
0 91 615.07
0 92 780.51
0 93 107.3
0 94 68.48
0 95 696.93
0 96 498.69
0 97 101.67
0 98 204.97
0 99 173.4
0 100 664.59
0 101 608.01
0 102 820.98
0 103 661.51
0 104 557.21
0 105 36.22
0 106 251.87
0 107 612.32
0 108 753
0 109 483.53
0 110 364.91
0 111 823.93
0 112 318.25
0 113 609.6
0 114 885.1
0 115 712.98
0 116 101.43
0 117 537.02
0 118 977.46
0 119 323.19
0 120 702.06
0 121 210.34
0 122 920.51
0 123 782.57
0 124 76.54
0 125 381.56
0 126 233.41
0 127 266.19
0 128 917.13
0 129 765.11
0 130 615.39
0 131 226.13
0 132 62.21
0 133 992.25
0 134 502.67
0 135 680.8
0 136 457.79
0 137 919.28
0 138 747.89
0 139 481.25
0 140 511.21
0 141 130.54
0 142 384.71
0 143 361.41
0 144 39.12
0 145 684.4
0 146 922.82
0 147 226.67
0 148 147.73
0 149 399.73
0 150 489.25
0 151 730.37
0 152 968.13
0 153 167.21
0 154 795.83
0 155 584.38
0 156 348.7
0 157 567.25
0 158 0.09
0 159 558.22
0 160 941.81
0 161 749.96
0 162 111.98
0 163 120.18
0 164 955.62
0 165 195.7
0 166 753.27
0 167 399.5
0 168 93.03
0 169 705.7
0 170 301.78
0 171 528.64
0 172 962.74
0 173 339.33
0 174 163.48
0 175 314.29
0 176 584.5
0 177 633.29
0 178 205.17
0 179 868.08
0 180 523
0 181 290.45
0 182 672.83
0 183 602.08
0 184 690.05
0 185 183.62
0 186 7.32
0 187 52.24
0 188 136.88
0 189 979.24
0 190 681.27
0 191 702.85
0 192 250.83
0 193 58.13
0 194 445.91
0 195 403.75
0 196 355.82
0 197 906.08
0 198 278.55
0 199 701.31
0 200 90.75
0 201 873.11
0 202 23.53
0 203 133.3
0 204 498.31
0 205 67.55
0 206 903.19
0 207 923.98
0 208 832.12
0 209 763.41
0 210 651.56
0 211 109.97
0 212 967.04
0 213 692.02
0 214 271.72
0 215 997.94
0 216 176.23
0 217 323.15
0 218 661.26
0 219 51.53
0 220 404.99
0 221 440.13
0 222 984.17
0 223 316.69
0 224 357.86
0 225 129.73
0 226 100.18
0 227 683.97
0 228 969.49
0 229 911.44
0 230 584.86
0 231 904.35
0 232 500.43
0 233 923.9
0 234 501.09
0 235 191.42
0 236 796.41
0 237 44.1
0 238 847.55
0 239 236.79
0 240 8.34
0 241 817.11
0 242 697.59
0 243 720.01
0 244 112.94
0 245 511.1
0 246 745.67
0 247 799.97
0 248 388.95
0 249 375.6
0 250 167.61
0 251 872.56
0 252 734.32
0 253 366.61
0 254 443.83
0 255 469.51
0 256 478.94
0 257 30.67
0 258 994.64
0 259 238.18
0 260 422.26
0 261 298.67
0 262 429.37
0 263 196.3
0 264 726.56
0 265 750.2
0 266 815.34
0 267 818.23
0 268 205.05
0 269 824.05
0 270 644.05
0 271 593.29
0 272 64.71
0 273 175.93
0 274 200.3
0 275 657.7
0 276 261.84
0 277 137.05
0 278 93.81
0 279 414.91
0 280 367.73
0 281 538.98
0 282 244.54
0 283 167.1
0 284 559.31
0 285 454.5
0 286 208.09
0 287 303.33
0 288 369.3
0 289 283.4
0 290 979.14
0 291 851.48
0 292 336.23
0 293 621.82
0 294 705.46
0 295 643.47
0 296 587.63
0 297 811.77
0 298 798.76
0 299 628.12
0 300 192.04
0 301 857.42
0 302 580.46
0 303 595.59
0 304 186.12
0 305 259.3
0 306 138.01
0 307 452.86
0 308 294.54
0 309 200.85
0 310 922.81
0 311 430.55
0 312 53.81
0 313 558.06
0 314 271.14
0 315 291.79
0 316 413.9
0 317 403.6
0 318 847.11
0 319 782.01
0 320 43.78
0 321 183.74
0 322 798.93
0 323 185.82
0 324 494.47
0 325 806.75
0 326 845.6
0 327 698.8
0 328 969.91
0 329 943.87
0 330 44
0 331 229.62
0 332 716.61
0 333 566.18
0 334 548.7
0 335 162.7
0 336 323.09
0 337 57.75
0 338 176.12
0 339 742.15
0 340 149.78
0 341 722.56
0 342 719.64
0 343 581.24
0 344 424.87
0 345 190.83
0 346 134.23
0 347 734.84
0 348 31.87
0 349 754.17
0 350 40.84
0 351 348.21
0 352 987.24
0 353 361.18
0 354 977.13
0 355 407.45
0 356 742.32
0 357 317.8
0 358 669.03
0 359 599.24
0 360 692.19
0 361 545.47
0 362 186.13
0 363 4.94
0 364 301.6
0 365 189.83
0 366 654.38
0 367 79.21
0 368 469.85
0 369 229.43
0 370 334.15
0 371 265.47
0 372 169.85
0 373 321.24
0 374 531.62
0 375 100.21
0 376 185.54
0 377 891.57
0 378 482.75
0 379 228.8
0 380 500.23
0 381 147.28
0 382 9.59
0 383 387.33
0 384 411.95
0 385 810.45
0 386 243.42
0 387 6.67
0 388 600.59
0 389 772.47
0 390 651.59
0 391 930.32
0 392 940.16
0 393 767.71
0 394 830.31
0 395 44.51
0 396 717.69
0 397 92.58
0 398 648.13
0 399 170.41
0 400 168.39
0 401 811.67
0 402 280.7
0 403 403.2
0 404 582.63
0 405 940.06
0 406 600.55
0 407 998.58
0 408 748.26
0 409 137.49
0 410 528
0 411 74.22
0 412 416.45
0 413 233.12
0 414 748.02
0 415 686.61
0 416 131.05
0 417 664.45
0 418 836.72
0 419 210.96
0 420 832.68
0 421 503.74
0 422 854.69
0 423 59.91
0 424 247.37
0 425 379.32
0 426 120.59
0 427 394.27
0 428 975.31
0 429 415.03
0 430 27.12
0 431 508.45
0 432 533.06
0 433 776.97
0 434 92.61
0 435 87.82
0 436 61.9
0 437 592.4
0 438 107.76
0 439 217.73
0 440 646.72
0 441 693.73
0 442 524.5
0 443 491.85
0 444 183.65
0 445 58.41
0 446 958.81
0 447 50.2
0 448 739.38
0 449 703.91
0 450 799.77
0 451 419.99
0 452 870.32
0 453 976.11
0 454 411.42
0 455 855.21
0 456 810.3
0 457 409.98
0 458 913.71
0 459 237.08
0 460 489.6
0 461 31.44
0 462 410.88
0 463 36.07
0 464 241.51
0 465 245.45
0 466 299.24
0 467 527.01
0 468 856.88
0 469 780.68
0 470 273.04
0 471 975.49
0 472 537.7
0 473 173.38
0 474 684.21
0 475 84.63
0 476 153.78
0 477 95.72
0 478 358.08
0 479 152.18
0 480 168.49
0 481 273.57
0 482 714.82
0 483 463.86
0 484 879.93
0 485 959.35
0 486 764.96
0 487 343.96
0 488 231.86
0 489 496.49
0 490 133.91
0 491 763.14
0 492 187.66
0 493 165.79
0 494 591.27
0 495 820.7
0 496 768.04
0 497 870.63
0 498 410.08
0 499 908.32
1 2 178.33
1 3 34.09
1 4 457.72
1 5 882.74
1 6 665.11
1 7 380.13
1 8 879.78
1 9 873.38
1 10 36.1
1 11 695.8
1 12 901.53
1 13 971.19
1 14 606.94
1 15 963.34
1 16 652.88
1 17 233.2
1 18 708.11
1 19 168.39
1 20 73.25
1 21 926.37
1 22 883.53
1 23 26.7
1 24 651.61
1 25 184.14
1 26 55.08
1 27 734.89
1 28 75.76
1 29 148.38
1 30 323.27
1 31 348.6
1 32 62.81
1 33 256.62
1 34 501.8
1 35 198.81
1 36 779.97
1 37 170.25
1 38 501.96
1 39 72.4
1 40 152.24
1 41 808.77
1 42 796.79
1 43 577.28
1 44 458.2
1 45 378.19
1 46 484.67
1 47 667.52
1 48 554.85
1 49 557.2
1 50 380.56
1 51 56.24
1 52 637.36
1 53 271.33
1 54 719.68
1 55 41.35
1 56 190.56
1 57 921.41
1 58 534.2
1 59 55.23
1 60 236.38
1 61 882.68
1 62 457.39
1 63 125.32
1 64 542.91
1 65 577.3
1 66 194.88
1 67 380.13
1 68 817.09
1 69 258.95
1 70 984.96
1 71 202.99
1 72 656.06
1 73 821.38
1 74 941.34
1 75 897.58
1 76 512.22
1 77 373.58
1 78 812.6
1 79 821.92
1 80 523.47
1 81 941.7
1 82 213.62
1 83 457.45
1 84 144.89
1 85 504.17
1 86 945.37
1 87 682.65
1 88 741.44
1 89 765.04
1 90 981.36
1 91 545.53
1 92 202.65
1 93 742.9
1 94 274.34
1 95 202.65
1 96 832.67
1 97 755.42
1 98 133.35
1 99 830.15
1 100 898.25
1 101 684.59
1 102 264.9
1 103 559.74
1 104 262.79
1 105 404.16
1 106 164.68
1 107 319.08
1 108 248.3
1 109 712.67
1 110 964.92
1 111 644.75
1 112 422.56
1 113 987.43
1 114 805.06
1 115 447.75
1 116 34.65
1 117 861.9
1 118 519.42
1 119 563.29
1 120 810.85
1 121 313.69
1 122 129.79
1 123 453.57
1 124 706.1
1 125 760.83
1 126 756.31
1 127 375.64
1 128 841.55
1 129 576.37
1 130 354.54
1 131 699.28
1 132 703.97
1 133 670.8
1 134 362.99
1 135 319.08
1 136 625.43
1 137 760.41
1 138 705.07
1 139 785.83
1 140 684.4
1 141 568.36
1 142 547.12
1 143 274.53
1 144 155.71
1 145 620.92
1 146 679.64
1 147 941.38
1 148 42.83
1 149 693.26
1 150 535.47
1 151 973.41
1 152 466.65
1 153 238.94
1 154 884.37
1 155 399.03
1 156 794.6
1 157 258.72
1 158 411.89
1 159 996.13
1 160 539.69
1 161 881.1
1 162 795.01
1 163 252.67
1 164 480.38
1 165 463.58
1 166 698.95
1 167 315.8
1 168 52.01
1 169 94.47
1 170 445.48
1 171 89.46
1 172 632.09
1 173 568.38
1 174 939.21
1 175 922.31
1 176 686.06
1 177 928.04
1 178 391.93
1 179 422.18
1 180 89.92
1 181 509.15
1 182 41.39
1 183 521.48
1 184 172.07
1 185 689.23
1 186 602.97
1 187 909.2
1 188 119.55
1 189 928.53
1 190 267.63
1 191 261.33
1 192 195.28
1 193 670.79
1 194 880.81
1 195 519.23
1 196 160.58
1 197 594.72
1 198 264.84
1 199 137.94
1 200 320.29
1 201 480.62
1 202 3.62
1 203 376.49
1 204 692.19
1 205 225.43
1 206 882.74
1 207 294.1
1 208 927.72
1 209 408.21
1 210 91.2
1 211 506.51
1 212 433.29
1 213 122.09
1 214 716.06
1 215 876.92
1 216 852.42
1 217 832.77
1 218 740.31
1 219 168.22
1 220 37.46
1 221 365.42
1 222 325.81
1 223 556.23
1 224 405.98
1 225 608.53
1 226 808.57
1 227 981.84
1 228 314.48
1 229 802.22
1 230 370.71
1 231 132.1
1 232 422.69
1 233 8.91
1 234 909.3
1 235 183.91
1 236 595.06
1 237 778.66
1 238 312
1 239 831.4
1 240 127.08
1 241 596.47
1 242 943.26
1 243 655.77
1 244 854.23
1 245 622.56
1 246 620.75
1 247 28.44
1 248 363.51
1 249 73.12
1 250 869.15
1 251 62.13
1 252 563.34
1 253 743.49
1 254 354.7
1 255 83.91
1 256 621.59
1 257 586.73
1 258 922.53
1 259 56.29
1 260 660.72
1 261 918.63
1 262 658.87
1 263 238.56
1 264 594.58
1 265 697.89
1 266 910.45
1 267 887.29
1 268 667.64
1 269 777.99
1 270 227.9
1 271 114.66
1 272 244.72
1 273 800.12
1 274 425.92
1 275 804.32
1 276 425.17
1 277 97.07
1 278 629.03
1 279 854.57
1 280 614.5
1 281 957.46
1 282 908.46
1 283 116.87
1 284 414.83
1 285 131.44
1 286 747.9
1 287 368.38
1 288 112.23
1 289 324.51
1 290 573.62
1 291 353.48
1 292 1.35
1 293 691.9
1 294 194.73
1 295 136.21
1 296 824.96
1 297 316.62
1 298 587.85
1 299 465.67
1 300 130.92
1 301 84.48
1 302 451.54
1 303 542.74
1 304 351.39
1 305 136.76
1 306 402.97
1 307 872.9
1 308 749.19
1 309 525.71
1 310 709.34
1 311 399.06
1 312 551.79
1 313 129.51
1 314 864.3
1 315 16.74
1 316 653.85
1 317 322.52
1 318 378.5
1 319 369.22
1 320 197.55
1 321 139.63
1 322 963.66
1 323 495.1
1 324 671.78
1 325 858.23
1 326 576.07
1 327 614.11
1 328 584.66
1 329 660.11
1 330 794.11
1 331 121.26
1 332 932.24
1 333 283.94
1 334 703.74
1 335 752.57
1 336 981.75
1 337 223.65
1 338 222.43
1 339 596.4
1 340 163.78
1 341 899.66
1 342 309.94
1 343 480.72
1 344 935.1
1 345 498.86
1 346 462.54
1 347 112.1
1 348 513.93
1 349 121.15
1 350 720.31
1 351 578.22
1 352 146.38
1 353 806.52
1 354 230.01
1 355 972.68
